"911","Washed","Elevation Rhythm","Current-Light"
"C540","Praise the Lord Forever","Pat Barrett","Current-Medium"
"C541","I've Got A Fire","Pat Barrett","Current-Medium"
"H327","Dusty Bibles","Josiah Queen","Current-Heavy"
"H328","Isnt He Worthy","Life.Church Worship","Current-Medium"
"H329","Song of the Saints","Phil Wickham","Current-Medium"
"H330","Jesus Loves","Zach Williams","Current-Heavy"
"H331","Let the church sing","Tauren Wells","Current-Light"
"H332","Come On Home","Seph Schlueter","Current-Light"
"H334","Jesus Is Coming Back Soon","Forrest Frank & Josiah Queen","Current-Light"
"P894","What An Awesome God","Phil Wickham","Current-Heavy"
"P899","Redemption Has Come","Life.Church Worship","Current-Heavy"
"P900","Whole World","Aodhan King","Current-Heavy"
"P903","Fathers House","Gracie Binion","Current-Medium"
"P904","Get Behind Me (Feat. Zach Williams)","Emerson Day & Zach Williams","Current-Heavy"
"P905","Cant steal my joy","Josiah Queen & Brandon Lake","Current-Heavy"
"P906","Goodbye Yesterday","Elevation Rhythm & Gracie Binion","Current-Medium"
"P907","I Know A Name","Cece Winans & Brandon Lake","Current-Heavy"
"P908","Grave Robber","Crowder & Zach Williams","Current-Heavy"
"P909","Praise To The Most Hight","Joe L Barnes & Matt Redman","Current-Medium"
"P910","Finished","Caleb & John","Current-Light"
"T1783","Where would I be","Peter Burton","Current-Medium"
"T1784","Left it in the river","Jamie MacDonald","Current-Medium"
"T1785","Still","Crowder & Zach Williams","Current-Heavy"
"T1786","So Much","Life.Church Worship","Current-Light"
"T1788","So So Good","Phil Wickham","Current-Light"
"T1789","Testimony","Terrian","Current-Light"
"V717","Adonai","Gas Street Music & Zo Ross-Waddell","Current-Heavy"
"V719","Thank you for the cross","Tauren Wells","Current-Medium"
