"C540","Praise the Lord Forever","Pat Barrett","Current-Light"
"H327","Dusty Bibles","Josiah Queen","Current-Heavy"
"H328","Isnt He Worthy","Life.Church Worship","Current-Medium"
"H329","Song of the Saints","Phil Wickham","Current-Light"
"H330","Jesus Loves","Zach Williams","Current-Light"
"H331","Let the church sing","Tauren Wells","Current-Light"
"P893","Life in the Blood","Temitope","Current-Heavy"
"P894","What An Awesome God","Phil Wickham","Current-Heavy"
"P895","Creed","Life.Church Worship","Current-Heavy"
"P897","The Joy","The Belonging Co","Current-Heavy"
"P898","Move Again","Jonathan Duff","Current-Medium"
"P899","Redemption Has Come","Life.Church Worship","Current-Medium"
"P900","Whole World","Aodhan King","Current-Medium"
"P901","What A God","SEU Worship","Current-Heavy"
"P902","Mighty Name of Jesus","The Belonging Co & Hope Darst","Current-Heavy"
"P903","Fathers House","Gracie Binion","Current-Light"
"P904","Get Behind Me (Feat. Zach Williams)","Emerson Day & Zach Williams","Current-Medium"
"P905","Cant steal my joy","Josiah Queen & Brandon Lake","Current-Medium"
"P906","Goodbye Yesterday","Elevation Rhythm & Gracie Binion","Current-Medium"
"P907","I Know A Name","Cece Winans & Brandon Lake","Current-Heavy"
"P908","Grave Robber","Crowder & Zach Williams","Current-Medium"
"P909","Praise To The Most Hight","Joe L Barnes & Matt Redman","Current-Light"
"P910","Finished","Caleb & John","Current-Light"
"T1783","Where would I be","Peter Burton","Current-Light"
"T1784","Left it in the river","Jamie MacDonald","Current-Medium"
"T1785","Still","Crowder & Zach Williams","Current-Light"
"T1786","So Much","Life.Church Worship","Current-Light"
"T1788","Testimony","Terrian","Current-Light"
"V717","Adonai","Gas Street Music & Zo Ross-Waddell","Current-Medium"
"V718","Never Gets Old","Red Rocks Worship","Current-Heavy"
"V719","Thank you for the cross","Tauren Wells","Current-Light"
